Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AUSTVILLE RESIDENCES,"1,520,000","1,496.2","1,016",Oct-22,SENGKANG EAST AVENUE,Resale,Strata,139,"10,935",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
PINEVALE,"1,250,000","1,280.92",976,Oct-22,TAMPINES STREET 73,Resale,Strata,119,"10,504",-,Executive Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,06 to 10
LAKE LIFE,"1,535,000","1,248.62","1,229",Oct-22,TAO CHING ROAD,Resale,Strata,116,"13,233",-,Executive Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,06 to 10
THE ESPARIS,"1,092,000","1,184.04",922,Oct-22,PASIR RIS DRIVE 4,Resale,Strata,110,"9,927",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,06 to 10
BELLEWOODS,"1,300,000","1,227.1","1,059",Oct-22,WOODLANDS AVENUE 5,Resale,Strata,114,"11,404",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,01 to 05
PRIVE,"1,280,000","1,054.87","1,213",Oct-22,PUNGGOL FIELD,Resale,Strata,98,"13,061",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE TERRACE,"1,278,888","1,076.4","1,188",Oct-22,EDGEDALE PLAINS,Resale,Strata,100,"12,789",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,16 to 20
SIGNATURE AT YISHUN,"1,500,000","1,302.44","1,152",Oct-22,YISHUN STREET 51,Resale,Strata,121,"12,397",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
SEA HORIZON,"1,560,000","1,334.74","1,169",Oct-22,PASIR RIS RISE,Resale,Strata,124,"12,581",-,Executive Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,06 to 10
BELLEWOODS,"1,200,000","1,065.64","1,126",Oct-22,WOODLANDS AVENUE 5,Resale,Strata,99,"12,121",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
SEA HORIZON,"1,900,000","1,603.84","1,185",Oct-22,PASIR RIS RISE,Resale,Strata,149,"12,752",-,Executive Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,01 to 05
WATERBAY,"1,125,000",925.7,"1,215",Oct-22,EDGEFIELD PLAINS,Resale,Strata,86,"13,081",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THE RIVERVALE,"1,190,000","1,302.44",914,Oct-22,RIVERVALE LINK,Resale,Strata,121,"9,835",-,Executive Condominium,1,99 yrs lease commencing from 1997,19,Outside Central Region,01 to 05
BELLEWOODS,"1,100,000",936.47,"1,175",Oct-22,WOODLANDS AVENUE 5,Resale,Strata,87,"12,644",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
CITYLIFE@TAMPINES,"1,838,000","1,313.21","1,400",Oct-22,TAMPINES CENTRAL 7,Resale,Strata,122,"15,066",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
SUMMERDALE,"1,018,000","1,216.33",837,Oct-22,BOON LAY DRIVE,Resale,Strata,113,"9,009",-,Executive Condominium,1,99 yrs lease commencing from 1997,22,Outside Central Region,01 to 05
WATERCOLOURS,"950,000","1,001.05",949,Oct-22,PASIR RIS LINK,Resale,Strata,93,"10,215",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
BELYSA,"1,660,000","1,851.41",897,Oct-22,PASIR RIS DRIVE 1,Resale,Strata,172,"9,651",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,16 to 20
SIGNATURE AT YISHUN,"880,000",764.24,"1,151",Oct-22,YISHUN STREET 51,Resale,Strata,71,"12,394",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
BELLEWOODS,"1,300,000","1,151.75","1,129",Oct-22,WOODLANDS AVENUE 5,Resale,Strata,107,"12,150",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,01 to 05
ECOPOLITAN,"1,425,000","1,194.8","1,193",Oct-22,PUNGGOL WALK,Resale,Strata,111,"12,838",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
THE AMORE,"1,065,000",882.65,"1,207",Oct-22,EDGEDALE PLAINS,Resale,Strata,82,"12,988",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
LA CASA,"876,000",958,914,Oct-22,WOODLANDS DRIVE 16,Resale,Strata,89,"9,843",-,Executive Condominium,1,99 yrs lease commencing from 2004,25,Outside Central Region,01 to 05
THE FLORIDA,"1,260,000","1,291.68",975,Oct-22,HOUGANG AVENUE 7,Resale,Strata,120,"10,500",-,Executive Condominium,1,99 yrs lease commencing from 1997,19,Outside Central Region,06 to 10
TWIN WATERFALLS,"1,210,000","1,001.05","1,209",Oct-22,PUNGGOL WALK,Resale,Strata,93,"13,011",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
PRIVE,"1,345,000","1,097.93","1,225",Oct-22,PUNGGOL FIELD,Resale,Strata,102,"13,186",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
FORESTVILLE,"1,170,000","1,097.93","1,066",Oct-22,WOODLANDS DRIVE 16,Resale,Strata,102,"11,471",-,Executive Condominium,1,99 yrs lease commencing from 2012,25,Outside Central Region,11 to 15
LILYDALE,"930,000","1,194.8",778,Oct-22,YISHUN AVENUE 6,Resale,Strata,111,"8,378",-,Executive Condominium,1,99 yrs lease commencing from 2000,27,Outside Central Region,01 to 05
THE TERRACE,"1,315,000","1,076.4","1,222",Oct-22,EDGEDALE PLAINS,Resale,Strata,100,"13,150",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
THE TERRACE,"1,310,000","1,076.4","1,217",Oct-22,EDGEDALE PLAINS,Resale,Strata,100,"13,100",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
PRIVE,"1,320,000","1,097.93","1,202",Oct-22,PUNGGOL FIELD,Resale,Strata,102,"12,941",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE AMORE,"1,150,000",990.29,"1,161",Oct-22,EDGEDALE PLAINS,Resale,Strata,92,"12,500",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
THE VALES,"1,180,000",914.94,"1,290",Oct-22,ANCHORVALE CRESCENT,Resale,Strata,85,"13,882",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
SKYPARK RESIDENCES,"1,810,000","1,593.07","1,136",Oct-22,SEMBAWANG CRESCENT,Resale,Strata,148,"12,230",-,Executive Condominium,1,99 yrs lease commencing from 2013,27,Outside Central Region,01 to 05
THE VALES,"1,200,000",904.18,"1,327",Oct-22,ANCHORVALE CRESCENT,Resale,Strata,84,"14,286",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
AUSTVILLE RESIDENCES,"1,155,000","1,087.16","1,062",Oct-22,SENGKANG EAST AVENUE,Resale,Strata,101,"11,436",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
AUSTVILLE RESIDENCES,"866,000",807.3,"1,073",Oct-22,SENGKANG EAST AVENUE,Resale,Strata,75,"11,547",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE FLORAVALE,"1,600,000","2,303.5",695,Oct-22,WESTWOOD AVENUE,Resale,Strata,214,"7,477",-,Executive Condominium,1,99 yrs lease commencing from 1997,22,Outside Central Region,11 to 15
THE VALES,"996,800",764.24,"1,304",Oct-22,ANCHORVALE CRESCENT,Resale,Strata,71,"14,039",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
WATERWOODS,"1,485,000","1,280.92","1,159",Oct-22,PUNGGOL FIELD WALK,Resale,Strata,119,"12,479",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
